,freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52588,A,20000,PROD_BP,MIO_EUR,AT,,,,,,,,,,,,,,,,,,3215.11,3267.67,3063.35,3114.03,3344.65,2908.28,2713.47,2508.34,2424.05,2411.26,2506.31,2689.66,2509.51,2481.69,2607.82,2211.38,2395.22,2783.26,2769.23,2250.27,2572.65,3017.34,2981.66,2754.18,2728.85,2705.44,2859.12,3221.72,3114.61,3050.94,3122.27,3622.44
52589,A,20000,PROD_BP,MIO_EUR,BE,,,,,,,,1811.27,1982.31,2059.95,2220.82,2284.81,2283.05,2382.7,2282.08,2367.42,2901.36,2799.36,2827.89,2842.75,2870.82,2984.41,2651.41,2724.89,2806.83,2690.52,2522.37,2792.16,2656.07,2415.08,2488.33,2643.96,2257.32,2587.69,2649.19,2162.45,2052.26,2600.56,2221.49,2825.4,2408.47,2244.58,2485.08,2238.38,2471.83,2225.64,2627.23,2472.33,2570.95
52590,A,20000,PROD_BP,MIO_EUR,BG,,,,,,,,,,,,,,,,,,,,,,,1427164.45,1005666.44,2039726.42,1801830.29,1678.54,1637.89,1803.32,1605.06,1532.24,1588.75,1544.26,1478.75,1227.16,1885.72,1296.07,1355.65,1632.5,1662.26,1694.36,1731.65,1620.73,1675.58,1792.38,1732.5,1767.81,1748.41,2640.07
52591,A,20000,PROD_BP,MIO_EUR,CH,,,,,,,,,,,,,3255.31,3441.92,3702.83,3942.54,4064.16,4158.58,4079.09,3697.19,3630.52,3620.94,3497.42,3075.26,3036.31,2954.32,2838.29,2957.48,2767.18,2865.45,2459.94,2802.41,2535.5,2431.25,2527.55,2784.74,2625.3,2702.81,3135.02,3093.42,3168.18,3500.61,3516.31,3719.59,3502.41,3561.2,3816.5,4179.41,3881.48
52592,A,20000,PROD_BP,MIO_EUR,CY,,,,,,,,,,,,,,,,,,,,,,,,,,315.44,323.78,324.64,365.38,369.58,362.48,330.94,332.33,305.65,297.18,288.05,305.12,314.86,325.44,332.81,320.67,267.73,273.54,318.8,321.16,308.38,348.05,362.26,331.89
52593,A,20000,PROD_BP,MIO_EUR,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,919.58,766.2,854.66,1043.33,932.86,850.03,1285.23,1000.23,1004.53,1208.3,1237.42,723.74,966.45,1441.05,1351.6,1426.55,1485.67,1423.4,1690.29,1675.1,1700.29,1752.15,1935.11,2314.76
52594,A,20000,PROD_BP,MIO_EUR,DE,,,,,,,,,,,,,,,,,,,12308.58,12391.41,13535.59,13924.44,15767.92,16559.41,15932.81,15159.79,15161.81,17327.5,19749.12,16131.89,14781.48,18651.3,12811.73,13169.86,16031.24,16974.84,12656.0,16910.17,19809.77,17989.25,21254.34,20830.85,15464.91,16415.62,21821.69,16846.55,22088.17,20457.74,19593.81
52595,A,20000,PROD_BP,MIO_EUR,DK,1416.03,1535.34,1448.11,1682.66,1970.81,2147.49,1995.61,1945.01,2188.28,2642.71,2452.33,3164.01,3051.7,3281.27,2820.63,2904.77,3423.35,3293.34,3167.22,2999.26,2926.92,3152.84,3642.87,3675.41,3489.15,2709.89,2602.2,3109.56,3679.78,2896.2,2871.62,3102.49,2289.03,2502.65,2609.24,1787.95,1780.28,2664.99,2795.36,3755.1,2800.36,2974.86,2170.27,2102.97,3113.35,2217.76,3007.35,3567.84,2301.59
52596,A,20000,PROD_BP,MIO_EUR,EA,,,,,,,,,,,,,,,,,,,112094.51,109543.07,104152.63,110151.18,113191.82,120308.57,120984.66,119992.83,117892.97,122159.26,135468.62,129483.37,130730.52,137009.35,121717.25,114683.27,125733.73,120516.59,105908.09,120827.73,125356.74,127073.7,132023.29,132262.66,133556.87,131787.78,147326.69,145065.59,149475.12,146238.92,154606.0
52597,A,20000,PROD_BP,MIO_EUR,EA11,,,,,,,,,,,,,,,,,,,112094.51,109543.07,104152.63,110151.18,113191.82,120308.57,120984.66,119992.83,117892.97,122159.26,127683.05,121801.99,122915.44,129269.17,114128.0,108717.73,119248.64,114313.52,99224.81,113804.61,118241.55,119710.66,125001.71,124691.73,124352.37,123411.3,137836.39,136239.25,139712.96,136024.73,144350.81
